Song,Album,Album Release Date,Artist Names,Artist(s) Genres,Hot100 Ranking Year,Hot100 Rank,Song Length(ms),Spotify Link,Song Image,Spotify URI,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Valence,Key,Mode,Time Signature
Working in the Coal Mine,The New Lee Dorsey,2000-11-28,['Lee Dorsey'],"['new orleans soul', 'new orleans funk']",1966,19,169933,https://open.spotify.com/track/5GR1Jj5ahZtoR6WqyM5LP4,https://i.scdn.co/image/ab67616d00001e02eda2f0596fca412a7d93af1f,spotify:track:5GR1Jj5ahZtoR6WqyM5LP4,41,0.691,0.766,0.493,0.0,0.0556,-8.571,0.0689,142.764,0.921,3,1,4
A Groovy Kind of Love - Remastered,Um Um Um Um Um Um (Remastered),2015-11-05,['Wayne Fontana & The Mindbenders'],['british invasion'],1966,20,121003,https://open.spotify.com/track/2xOEmK42jfYwj0biDzNlW2,https://i.scdn.co/image/ab67616d00001e0208a2f6cabf799fed1df0ba41,spotify:track:2xOEmK42jfYwj0biDzNlW2,35,0.472,0.444,0.502,1.9e-05,0.115,-13.791,0.031,98.789,0.484,11,0,4
You Don't Have To Say You Love Me,You Don't Have To Say You Love Me,1966-07,['Dusty Springfield'],"['british invasion', 'soul', 'adult standards']",1966,21,170440,https://open.spotify.com/track/0q8nQ0H4ad4KYcZdrTZPux,https://i.scdn.co/image/ab67616d00001e025ca6b0da6bdc2dc65a7020d9,spotify:track:0q8nQ0H4ad4KYcZdrTZPux,49,0.455,0.317,0.513,0.0,0.0719,-9.24,0.0339,111.5,0.627,2,0,3
Sunshine Superman,Sunshine Superman,1966-09,['Donovan'],"['folk rock', 'singer-songwriter', 'british invasion', 'psychedelic folk', 'folk', 'scottish singer-songwriter', 'psychedelic rock', 'classic rock', 'british folk', 'glam rock']",1966,22,195000,https://open.spotify.com/track/4RGxUjaCmVtD30pIhtEi7w,https://i.scdn.co/image/ab67616d00001e0232ddd18dc88969d84dbff3ab,spotify:track:4RGxUjaCmVtD30pIhtEi7w,59,0.122,0.629,0.677,9.72e-06,0.0962,-7.239,0.0299,132.783,0.627,1,1,4
Born A Woman,At His Best,2005,['Sandy Posey'],['nashville sound'],1966,23,120026,https://open.spotify.com/track/0Mvq8TPdX7kVLfF34jpvHS,https://i.scdn.co/image/ab67616d00001e02e122a3d32f5307f58addafca,spotify:track:0Mvq8TPdX7kVLfF34jpvHS,30,0.726,0.755,0.38,5.19e-06,0.165,-12.212,0.0309,114.556,0.906,0,1,4
"Monday, Monday - Single Version",If You Can Believe Your Eyes & Ears,1966-03,['The Mamas & The Papas'],"['folk rock', 'rock', 'soft rock', 'folk', 'psychedelic rock', 'classic rock', 'mellow gold', 'sunshine pop']",1966,24,208293,https://open.spotify.com/track/3EFb1qDgIqf9MegIryKtDj,https://i.scdn.co/image/ab67616d00001e0208181b9f840a06e7a071cf72,spotify:track:3EFb1qDgIqf9MegIryKtDj,63,0.742,0.488,0.464,0.0,0.57,-9.496,0.0284,109.853,0.709,1,1,4
Red Rubber Ball,Red Rubber Ball (A Collection),1991-08-27,['The Cyrkle'],"['classic garage rock', 'sunshine pop']",1966,25,137493,https://open.spotify.com/track/6DuLN8tFW0DkH9wsbTHZsX,https://i.scdn.co/image/ab67616d00001e0217b2b4b561510f413ee22371,spotify:track:6DuLN8tFW0DkH9wsbTHZsX,45,0.657,0.644,0.459,0.0,0.0876,-11.702,0.0322,92.801,0.852,9,1,4
Born Free,Born Free,1966-01-01,['Roger Williams'],['easy listening'],1966,26,141500,https://open.spotify.com/track/2vDLWF0RVb7h8OlF2i8F94,https://i.scdn.co/image/ab67616d00001e02045013a5cdb37b000f287509,spotify:track:2vDLWF0RVb7h8OlF2i8F94,33,0.752,0.602,0.662,2.59e-06,0.12,-7.952,0.0315,118.776,0.525,7,0,4
Walk Away Renee,Walk Away Renée/Pretty Ballerina,1967-02-01,['The Left Banke'],"['psychedelic rock', 'classic garage rock', 'bubblegum pop', 'merseybeat', 'baroque pop', 'freakbeat']",1966,27,164813,https://open.spotify.com/track/6utiXjyN4dWoMNEZa2skxn,https://i.scdn.co/image/ab67616d00001e02ccf837ee375cc7b34afb05ac,spotify:track:6utiXjyN4dWoMNEZa2skxn,49,0.735,0.405,0.563,0.0,0.198,-7.313,0.033,117.777,0.592,9,1,4
Cool Jerk,Dance The Cool Jerk,1966,['The Capitols'],['motown'],1966,28,166746,https://open.spotify.com/track/1CQHMHRCDs1qioeseVTbaR,https://i.scdn.co/image/ab67616d00001e026236e8d0a06900246555efac,spotify:track:1CQHMHRCDs1qioeseVTbaR,44,0.339,0.704,0.574,0.0,0.0705,-14.524,0.0611,83.955,0.763,10,0,4
B-A-B-Y,Carla,1966,['Carla Thomas'],"['memphis soul', 'southern soul', 'soul']",1966,29,177000,https://open.spotify.com/track/35w6fQ0Wnuv7aIryRx7gTq,https://i.scdn.co/image/ab67616d00001e024f7c9d4e6d8651fb031233e6,spotify:track:35w6fQ0Wnuv7aIryRx7gTq,57,0.428,0.74,0.301,0.0,0.0782,-11.975,0.0467,113.61,0.669,8,1,4
Hanky Panky - Single Version,Hanky Panky,1966,['Tommy James & The Shondells'],"['folk rock', 'rock-and-roll', 'psychedelic rock', 'classic garage rock', 'country rock', 'classic rock', 'bubblegum pop', 'mellow gold']",1966,30,172400,https://open.spotify.com/track/3uqEiaO6MUoM89nLSIs05c,https://i.scdn.co/image/ab67616d00001e02891dedd32d314fe76ccab805,spotify:track:3uqEiaO6MUoM89nLSIs05c,44,0.411,0.646,0.911,0.000484,0.115,-6.228,0.101,126.122,0.895,7,0,4
When a Man Loves a Woman,When a Man Loves a Woman,1966,['Percy Sledge'],"['classic soul', 'southern soul', 'soul', 'rock-and-roll']",1966,31,173866,https://open.spotify.com/track/51FpzuGkRYXFgsE2zXt9av,https://i.scdn.co/image/ab67616d00001e020c8a01bf197adb9859044775,spotify:track:51FpzuGkRYXFgsE2zXt9av,71,0.13,0.516,0.15,0.0755,0.122,-20.41,0.0272,97.398,0.205,1,1,3
Time Won't Let Me,Capitol Collectors Series,1991-01-01,['The Outsiders'],['american oi'],1966,32,181733,https://open.spotify.com/track/7i4rIZqwNg4wtmYO6SDKru,https://i.scdn.co/image/ab67616d00001e021b9995fc773f057aae386240,spotify:track:7i4rIZqwNg4wtmYO6SDKru,41,0.35,0.438,0.425,4.03e-05,0.48,-20.396,0.0307,150.238,0.841,11,0,4
Bus Stop,Greatest Hits,1973-10-01,['The Hollies'],"['folk rock', 'soft rock', 'british invasion', 'classic rock', 'album rock', 'mellow gold', 'merseybeat']",1966,33,174533,https://open.spotify.com/track/3Jw2A9SC8zhntx4ON9VabX,https://i.scdn.co/image/ab67616d00001e023c5b8a46e6be8d33886b7a87,spotify:track:3Jw2A9SC8zhntx4ON9VabX,50,0.132,0.597,0.66,0.0,0.0948,-10.812,0.0331,136.283,0.742,4,0,4
"Paint It, Black",Aftermath,1966-04-15,['The Rolling Stones'],"['classic rock', 'rock', 'british invasion', 'album rock']",1966,34,202266,https://open.spotify.com/track/63T7DJ1AFDD6Bn8VzG6JE8,https://i.scdn.co/image/ab67616d00001e02bad7062c3fd2f2d037989694,spotify:track:63T7DJ1AFDD6Bn8VzG6JE8,83,0.0493,0.464,0.795,0.00244,0.399,-9.267,0.0926,158.691,0.612,1,1,4
Summer in the City - Remastered,Hums Of The Lovin' Spoonful,1966-11,"[""The Lovin' Spoonful""]","['folk rock', 'rock-and-roll', 'soft rock', 'folk', 'psychedelic rock', 'country rock', 'classic rock', 'mellow gold']",1966,35,160306,https://open.spotify.com/track/7AzFID6u1b3zIWbd9pb8Dk,https://i.scdn.co/image/ab67616d00001e02633c04118b43d201581e3328,spotify:track:7AzFID6u1b3zIWbd9pb8Dk,66,0.0592,0.423,0.681,0.000177,0.0889,-9.756,0.0398,110.461,0.56,10,1,4
I'm So Lonesome I Could Cry,Super Hits,1968,['B.J. Thomas'],"['folk rock', 'classic country pop', 'soft rock', 'adult standards', 'mellow gold', 'bubblegum pop']",1966,36,190080,https://open.spotify.com/track/5368j0repMOx3aE9AM0nCf,https://i.scdn.co/image/ab67616d00001e0206ca44cb5a5cc81212b56051,spotify:track:5368j0repMOx3aE9AM0nCf,35,0.634,0.241,0.284,0.0411,0.0858,-10.051,0.0306,78.435,0.227,7,1,3
My Love,Les Annees Petula,1996-04-22,['Petula Clark'],"['folk rock', 'rock-and-roll', 'adult standards', 'rockabilly', 'bubblegum pop', 'merseybeat', 'easy listening']",1966,37,161933,https://open.spotify.com/track/1Pr9fa2ySv0x5u9Q2SeEhO,https://i.scdn.co/image/ab67616d00001e02722661e13b109026bdf44ab4,spotify:track:1Pr9fa2ySv0x5u9Q2SeEhO,41,0.647,0.517,0.852,0.000849,0.193,-6.46,0.0427,174.295,0.964,9,1,4
Daydream,Daydream,1966-03,"[""The Lovin' Spoonful""]","['folk rock', 'rock-and-roll', 'soft rock', 'folk', 'psychedelic rock', 'country rock', 'classic rock', 'mellow gold']",1966,38,139093,https://open.spotify.com/track/3c06k9x6MHHdPQi3ix68yF,https://i.scdn.co/image/ab67616d00001e02737f8ad011befb8c655d3a33,spotify:track:3c06k9x6MHHdPQi3ix68yF,63,0.834,0.822,0.332,0.0,0.11,-11.369,0.0506,110.802,0.834,1,1,4
Ain't Too Proud To Beg - Live At The Roostertail's Upper Deck/1966,Temptations Live!,1967-03-06,['The Temptations'],"['memphis soul', 'soul', 'motown']",1966,39,177533,https://open.spotify.com/track/20xHDdFWRe66PWVibJemwQ,https://i.scdn.co/image/ab67616d00001e022ea64347b16bb7af66db85d3,spotify:track:20xHDdFWRe66PWVibJemwQ,6,0.522,0.504,0.946,0.0,0.53,-6.914,0.178,135.734,0.618,10,1,4
Wild Thing,From Nowhere,1966-07-25,['The Troggs'],"['british invasion', 'british blues']",1966,40,155333,https://open.spotify.com/track/7jGzYUZ2Bgg8BDfYlQRfn8,https://i.scdn.co/image/ab67616d00001e0227b24620f0b3b592472552f5,spotify:track:7jGzYUZ2Bgg8BDfYlQRfn8,66,0.741,0.453,0.658,0.0288,0.135,-13.472,0.0539,203.871,0.761,9,1,4
Elusive Butterfly,Best Of,1993-01-01,['Bob Lind'],['psychedelic folk rock'],1966,41,168533,https://open.spotify.com/track/226EXK5tPVsqaZ2y9RACR0,https://i.scdn.co/image/ab67616d00001e02dfd117aa3b7e5a1729fdcc47,spotify:track:226EXK5tPVsqaZ2y9RACR0,42,0.099,0.577,0.621,0.0,0.0945,-8.217,0.0262,94.982,0.78,3,1,4
I Am a Rock,Sounds Of Silence,1966-01-17,['Simon & Garfunkel'],"['folk rock', 'rock', 'melancholia', 'soft rock', 'folk', 'classic rock', 'mellow gold']",1966,42,169520,https://open.spotify.com/track/0byOqNZN9ailhoORv5Ps0Z,https://i.scdn.co/image/ab67616d00001e0244a8aa7ac5c2e2defbfd702b,spotify:track:0byOqNZN9ailhoORv5Ps0Z,63,0.423,0.66,0.611,1.11e-05,0.107,-10.309,0.0392,113.898,0.749,0,1,4
Dirty Water,Dirty Water (Expanded Edition),1966-05-01,['The Standells'],"['classic garage rock', 'protopunk']",1966,43,167253,https://open.spotify.com/track/3NINDFPIYnyT26cWWRomOQ,https://i.scdn.co/image/ab67616d00001e025cfa597b760ea6e73b890cf3,spotify:track:3NINDFPIYnyT26cWWRomOQ,48,0.181,0.62,0.781,0.0,0.187,-5.938,0.0379,144.707,0.864,9,1,4
Hooray For Hazel,Tommy's 22 Big Ones,2001-01-01,['Tommy Roe'],"['classic garage rock', 'bubblegum pop', 'merseybeat', 'rock-and-roll']",1966,44,149546,https://open.spotify.com/track/3koPNalAOcO8orv2MBvxen,https://i.scdn.co/image/ab67616d00001e0275d6caa1027c62015ab9703c,spotify:track:3koPNalAOcO8orv2MBvxen,32,0.0328,0.656,0.795,3.42e-06,0.0898,-7.338,0.0314,116.475,0.96,9,1,4
Crying Time,Country,2021-08-13,['Ray Charles'],"['classic soul', 'piano blues', 'vocal jazz', 'jazz blues', 'soul blues', 'soul']",1966,45,175771,https://open.spotify.com/track/1ixBweyBTDxzZGJZJLe49Q,https://i.scdn.co/image/ab67616d00001e02c50070375e16d125e7e9d877,spotify:track:1ixBweyBTDxzZGJZJLe49Q,35,0.663,0.203,0.301,0.0,0.156,-12.233,0.0367,202.737,0.398,8,1,3
Sweet Pea,Tommy's 22 Big Ones,2001-01-01,['Tommy Roe'],"['classic garage rock', 'bubblegum pop', 'merseybeat', 'rock-and-roll']",1966,46,132573,https://open.spotify.com/track/5WeHEbyAGCQ7fB3IF2FeD8,https://i.scdn.co/image/ab67616d00001e0275d6caa1027c62015ab9703c,spotify:track:5WeHEbyAGCQ7fB3IF2FeD8,43,0.0601,0.586,0.755,7.77e-05,0.1,-7.378,0.0341,119.634,0.963,4,1,4
Secret Agent Man,Greatest Hits,1998-01-01,['Johnny Rivers'],['bubblegum pop'],1966,47,185493,https://open.spotify.com/track/2BlaUfBTbWG50DoZHBD1uV,https://i.scdn.co/image/ab67616d00001e0202d5e11332eee0cae5f76876,spotify:track:2BlaUfBTbWG50DoZHBD1uV,46,0.0238,0.539,0.452,0.0197,0.944,-16.838,0.0461,163.101,0.928,4,0,4
Did You Ever Have to Make up Your Mind?,Do you Believe In Magic,1965-11,"[""The Lovin' Spoonful""]","['folk rock', 'rock-and-roll', 'soft rock', 'folk', 'psychedelic rock', 'country rock', 'classic rock', 'mellow gold']",1966,48,119373,https://open.spotify.com/track/06YcuDoEZvMcxgzvtzJTz4,https://i.scdn.co/image/ab67616d00001e020b6b12fd915f73fce8082de3,spotify:track:06YcuDoEZvMcxgzvtzJTz4,46,0.761,0.789,0.5,0.0,0.181,-9.064,0.0342,120.214,0.945,7,1,4
We Can Work It Out - Remastered 2015,1 (Remastered),2000-11-13,['The Beatles'],"['rock', 'british invasion', 'beatlesque', 'psychedelic rock', 'classic rock', 'merseybeat']",1966,49,135693,https://open.spotify.com/track/1hTUFqJuQAMjXVGwUPWDqi,https://i.scdn.co/image/ab67616d00001e02582d56ce20fe0146ffa0e5cf,spotify:track:1hTUFqJuQAMjXVGwUPWDqi,68,0.0635,0.378,0.677,0.0,0.183,-8.63,0.0298,106.071,0.648,2,1,4
Homeward Bound,"Parsley, Sage, Rosemary And Thyme",1966-10-10,['Simon & Garfunkel'],"['folk rock', 'rock', 'melancholia', 'soft rock', 'folk', 'classic rock', 'mellow gold']",1966,50,149613,https://open.spotify.com/track/4Xl2PrS3DJqqSKXCo6Uhv9,https://i.scdn.co/image/ab67616d00001e02fb107b5a07df183f1836d9cb,spotify:track:4Xl2PrS3DJqqSKXCo6Uhv9,70,0.831,0.485,0.378,0.0,0.103,-11.773,0.0337,92.928,0.528,3,1,4
Uptight (Everything's Alright),Up-Tight,1966-05-01,['Stevie Wonder'],"['soul', 'motown']",1966,51,174400,https://open.spotify.com/track/0Hw6SCrtU9pFCjgAONpnGZ,https://i.scdn.co/image/ab67616d00001e02c82a59431ee475300e2f618a,spotify:track:0Hw6SCrtU9pFCjgAONpnGZ,61,0.186,0.593,0.642,0.0,0.129,-9.894,0.0304,133.281,0.919,5,0,4
Bang Bang (My Baby Shot Me Down),The Sonny Side Of Chér,1966-04-01,['Cher'],"['pop', 'dance pop']",1966,52,165293,https://open.spotify.com/track/75miYzXfHBB7Bb8zbLMzFZ,https://i.scdn.co/image/ab67616d00001e02742c9d2f5c7ca5af8fdeb37e,spotify:track:75miYzXfHBB7Bb8zbLMzFZ,41,0.311,0.515,0.291,0.0,0.288,-17.016,0.0302,84.264,0.781,7,0,4
Sloop John B,Pet Sounds (Original Mono & Stereo Mix),1966-06-16,['The Beach Boys'],"['folk rock', 'rock', 'psychedelic rock', 'classic rock', 'mellow gold', 'sunshine pop', 'baroque pop']",1966,53,180133,https://open.spotify.com/track/2ULL3VZf4WwBKO4vjwT7Bg,https://i.scdn.co/image/ab67616d00001e02bde8dfd1922129f3d9e3732f,spotify:track:2ULL3VZf4WwBKO4vjwT7Bg,61,0.402,0.567,0.745,0.0,0.0873,-5.423,0.0264,125.575,0.903,8,1,4
19th Nervous Breakdown - Mono Version,Hot Rocks (1964-1971),1971-12-20,['The Rolling Stones'],"['classic rock', 'rock', 'british invasion', 'album rock']",1966,54,236400,https://open.spotify.com/track/21ElXnithj4MX8E4rg5lh8,https://i.scdn.co/image/ab67616d00001e02b11b3fc3c89477a7dd473bd7,spotify:track:21ElXnithj4MX8E4rg5lh8,43,0.0142,0.477,0.842,0.106,0.271,-7.356,0.0371,96.457,0.796,4,1,4
Wipe Out - Hit Version / Extended Ending,The Best Of The Surfaris,2008-01-01,['The Surfaris'],['surf music'],1966,55,157760,https://open.spotify.com/track/4anUinKv803lyDD1vaSXhU,https://i.scdn.co/image/ab67616d00001e029c332107383e06a3f281e758,spotify:track:4anUinKv803lyDD1vaSXhU,54,0.385,0.336,0.636,0.909,0.414,-13.785,0.0374,152.423,0.521,0,1,4
Psychotic Reaction,Psychotic Reaction,1966-01-01,['Count Five'],"['psychedelic rock', 'classic garage rock', 'protopunk']",1966,56,185523,https://open.spotify.com/track/5JcaA4A9ZoXthwEnxOxWvP,https://i.scdn.co/image/ab67616d00001e0216dd04ec4a099a709b6627b5,spotify:track:5JcaA4A9ZoXthwEnxOxWvP,55,0.000259,0.358,0.753,0.0199,0.266,-6.641,0.0986,164.896,0.688,11,1,4
Paperback Writer - Remastered 2015,1 (Remastered),2000-11-13,['The Beatles'],"['rock', 'british invasion', 'beatlesque', 'psychedelic rock', 'classic rock', 'merseybeat']",1966,57,138200,https://open.spotify.com/track/0Ui8KPWZbJJQ2Y0CIQuVqX,https://i.scdn.co/image/ab67616d00001e02582d56ce20fe0146ffa0e5cf,spotify:track:0Ui8KPWZbJJQ2Y0CIQuVqX,59,0.147,0.472,0.856,2.78e-06,0.595,-6.03,0.0562,78.696,0.841,7,1,4
Beauty Is Only Skin Deep - Mono SIngle,"20th Century Masters: The Millennium Collection: Best Of The Temptations, Vol. 1 - The '60s",1999-08-31,['The Temptations'],"['memphis soul', 'soul', 'motown']",1966,58,144506,https://open.spotify.com/track/5igKwBONSuxkQ99H0hk7Ut,https://i.scdn.co/image/ab67616d00001e0267421e18c823f95396605476,spotify:track:5igKwBONSuxkQ99H0hk7Ut,45,0.093,0.655,0.547,0.0,0.0618,-4.862,0.0425,119.902,0.628,0,1,4
No Matter What Shape (Your Stomach's In),Lost Hits Of The 60's (All Original Artists & Versions),2010-01-01,['The T-Bones'],[],1966,59,136853,https://open.spotify.com/track/5DkgAX62bM7gwYpOGtOGfK,https://i.scdn.co/image/ab67616d00001e02f8c554e3aabe57f9d5cba30e,spotify:track:5DkgAX62bM7gwYpOGtOGfK,34,0.257,0.786,0.803,0.793,0.044,-12.7,0.0313,125.841,0.964,0,1,4
Barefootin',Barefootin',1966-12-12,['Robert Parker'],['new orleans soul'],1966,60,157172,https://open.spotify.com/track/0VwK5pLjwFPy8FSEC1htp9,https://i.scdn.co/image/ab67616d00001e024331efdb3a660bd2c4bab25d,spotify:track:0VwK5pLjwFPy8FSEC1htp9,40,0.409,0.734,0.477,0.000662,0.0768,-10.822,0.0485,145.188,0.939,6,1,4
Just Like Me,Just Like Us!,1966,['Paul Revere & The Raiders'],"['folk rock', 'singer-songwriter', 'rock-and-roll', 'soft rock', 'protopunk', 'psychedelic rock', 'classic garage rock', 'country rock', 'classic rock', 'bubblegum pop', 'mellow gold', 'merseybeat', 'rockabilly']",1966,61,153293,https://open.spotify.com/track/26zxM3tt5OnkxGFGuKyJHQ,https://i.scdn.co/image/ab67616d00001e0295fa8fd717381d9d96b9381c,spotify:track:26zxM3tt5OnkxGFGuKyJHQ,33,0.378,0.67,0.796,1.19e-05,0.189,-7.717,0.0399,126.063,0.924,0,1,4
Love Makes the World Go Round,Presenting Deon Jackson,1965-05-06,['Deon Jackson'],[],1966,62,152466,https://open.spotify.com/track/0GHNwEhN2tckImwQ0eP4n6,https://i.scdn.co/image/ab67616d00001e02754986aef599b55f12d7fff3,spotify:track:0GHNwEhN2tckImwQ0eP4n6,34,0.716,0.664,0.318,0.0,0.096,-12.934,0.0486,121.39,0.617,5,0,4
The Pied Piper,Follow Me...,1966-01-11,['Crispian St. Peters'],['british invasion'],1966,63,151666,https://open.spotify.com/track/7ufnFt3fA9Ut2K0DILUZ34,https://i.scdn.co/image/ab67616d00001e0242490e478ae4d3d3f3ada35c,spotify:track:7ufnFt3fA9Ut2K0DILUZ34,43,0.112,0.692,0.734,0.0,0.164,-7.089,0.0465,125.436,0.963,11,1,4
"Somewhere, My Love (Lara's Theme from ""Doctor Zhivago"")","SOMEWHERE MY LOVE (Love Theme from ""Dr. Zhivago"") And Other Great Hits",1966,['The Ray Conniff Singers'],['easy listening'],1966,64,148626,https://open.spotify.com/track/1IYn7ytdb8byvHKS7S3Cat,https://i.scdn.co/image/ab67616d00001e02c7971fe2f14fdff84abf03a8,spotify:track:1IYn7ytdb8byvHKS7S3Cat,48,0.867,0.477,0.259,0.0,0.238,-16.096,0.0264,88.59,0.374,7,1,3
Almost Persuaded,Almost Persuaded,1966,['David Houston'],['nashville sound'],1966,65,176360,https://open.spotify.com/track/2Krnm3qWdy4VG5vTkT0cDn,https://i.scdn.co/image/ab67616d00001e025028b7187e9949f18def172b,spotify:track:2Krnm3qWdy4VG5vTkT0cDn,47,0.861,0.251,0.338,0.0,0.144,-11.897,0.0382,81.642,0.353,8,1,3
If I Were A Carpenter - Live From The Desert Inn / 1971,Darin 1936-1973 (Expanded Edition),2017-03-24,['Bobby Darin'],"['lounge', 'rock-and-roll', 'adult standards', 'vocal jazz', 'easy listening']",1966,66,204493,https://open.spotify.com/track/6zGufyo5txRnBPsGm51Zc2,https://i.scdn.co/image/ab67616d00001e02e5cc3a91a955c05dbee42951,spotify:track:6zGufyo5txRnBPsGm51Zc2,24,0.611,0.733,0.287,0.0441,0.68,-14.076,0.0359,116.482,0.605,7,1,4
Don't Mess With Bill (Originally Performed By the Marvelettes) - Karaoke Version,"Karaoke Hits - Best of 1966, Vol. 4",2015-02-12,['Hit Tunes Karaoke'],['karaoke'],1966,67,167071,https://open.spotify.com/track/5vwd098qgNtOcJJJpkrcQh,https://i.scdn.co/image/ab67616d00001e02250b1d86c8f4ba169c18259a,spotify:track:5vwd098qgNtOcJJJpkrcQh,0,0.00349,0.754,0.49,0.835,0.264,-8.511,0.0271,114.985,0.542,7,1,4
Cherry Cherry,The Bang Years 1966-1968 (The 23 Original Mono Recordings),1968,['Neil Diamond'],"['folk rock', 'heartland rock', 'singer-songwriter', 'soft rock', 'adult standards', 'mellow gold', 'yacht rock', 'brill building pop']",1966,68,163906,https://open.spotify.com/track/2SS3WeSe24ZqTlTSK4KzQZ,https://i.scdn.co/image/ab67616d00001e0236d6a0e9046f5cf060aa51e8,spotify:track:2SS3WeSe24ZqTlTSK4KzQZ,59,0.0271,0.56,0.827,0.00285,0.0551,-4.157,0.0306,84.383,0.904,8,1,4
Message to Michael,The Dionne Warwick Collection: Her All-Time Greatest Hits,1989,['Dionne Warwick'],"['disco', 'quiet storm', 'soft rock', 'adult standards', 'vocal jazz', 'soul', 'brill building pop']",1966,69,188880,https://open.spotify.com/track/4g94t2vgwZ5Dk8hvnbx2pg,https://i.scdn.co/image/ab67616d00001e02ff77d5d0097fa0499e5249ef,spotify:track:4g94t2vgwZ5Dk8hvnbx2pg,29,0.835,0.604,0.254,1.04e-06,0.796,-15.298,0.0469,90.609,0.633,1,1,4
Love Is A Hurtin' Thing,Legendary Lou Rawls,1992-01-01,['Lou Rawls'],"['disco', 'classic soul', 'quiet storm', 'philly soul', 'motown', 'soul blues', 'soul']",1966,70,134426,https://open.spotify.com/track/6vR08FrdLqK0hiC2Y75s4O,https://i.scdn.co/image/ab67616d00001e02314d9ea89e189b5875ef6f1a,spotify:track:6vR08FrdLqK0hiC2Y75s4O,44,0.468,0.409,0.433,1.53e-05,0.0863,-10.693,0.0309,182.452,0.74,3,1,4
Gloria,Gloria,1966,['The Shadows Of Knight'],"['classic garage rock', 'protopunk']",1966,71,157333,https://open.spotify.com/track/5WNcnqDpO5asMaDIthIcu1,https://i.scdn.co/image/ab67616d00001e028de00c5136a2f40adab9a408,spotify:track:5WNcnqDpO5asMaDIthIcu1,38,0.0535,0.681,0.519,0.000729,0.138,-10.549,0.0317,120.221,0.73,9,1,4
My World Is Empty Without You,I Hear A Symphony,1966-02-18,['The Supremes'],"['disco', 'classic girl group', 'soul', 'motown']",1966,72,154426,https://open.spotify.com/track/1kFCFfR5q4VO02KtYguXgh,https://i.scdn.co/image/ab67616d00001e0216a6e92d6f1c8a02d68b4e44,spotify:track:1kFCFfR5q4VO02KtYguXgh,51,0.248,0.466,0.676,3.22e-06,0.103,-9.378,0.112,88.688,0.845,6,0,4
Barbara Ann,Spirit Of America,1975-04-14,['The Beach Boys'],"['folk rock', 'rock', 'psychedelic rock', 'classic rock', 'mellow gold', 'sunshine pop', 'baroque pop']",1966,73,133893,https://open.spotify.com/track/2KOt2JrCB720UxIbyzweQo,https://i.scdn.co/image/ab67616d00001e02af188836621942122e3832f5,spotify:track:2KOt2JrCB720UxIbyzweQo,65,0.19,0.581,0.669,0.0,0.243,-3.659,0.0385,78.073,0.926,6,1,4
Rainy Day Women #12 & 35,Blonde On Blonde,1966-06-20,['Bob Dylan'],"['folk rock', 'rock', 'roots rock', 'singer-songwriter', 'folk', 'country rock', 'classic rock']",1966,74,274066,https://open.spotify.com/track/7BkAlVpGwXXl3sYNn5OoJ7,https://i.scdn.co/image/ab67616d00001e02c51563a479fa5a4917311197,spotify:track:7BkAlVpGwXXl3sYNn5OoJ7,47,0.458,0.556,0.592,0.0,0.0637,-7.378,0.0337,94.887,0.587,5,1,4
Guantanamera,Guantanamera,1966,['The Sandpipers'],"['easy listening', 'bubblegum pop']",1966,75,193720,https://open.spotify.com/track/6Z6bFqqxhHS53Z5SqT0exe,https://i.scdn.co/image/ab67616d00001e023a54352ad32c78f88826e1b3,spotify:track:6Z6bFqqxhHS53Z5SqT0exe,43,0.812,0.322,0.275,0.00162,0.0986,-14.655,0.0367,206.682,0.665,7,1,4
I'm Your Puppet (Originally Performed by James & Bobby Purify) [Karaoke Version],"The Karaoke Channel - Pop Hits of 1966, Vol. 5",2016-09-22,['The Karaoke Channel'],['karaoke'],1966,76,181572,https://open.spotify.com/track/3tJ6b68oZnbiMzr9Rx9HDR,https://i.scdn.co/image/ab67616d00001e02b29fbd980f4de3fb68859fe9,spotify:track:3tJ6b68oZnbiMzr9Rx9HDR,0,0.00255,0.683,0.394,0.524,0.112,-14.509,0.0266,95.994,0.683,10,1,4
Land of 1000 Dances,The Exciting Wilson Pickett,1966,['Wilson Pickett'],"['memphis soul', 'classic soul', 'southern soul', 'soul']",1966,77,146973,https://open.spotify.com/track/76ICmoJ4PcoMWoooaTxnQs,https://i.scdn.co/image/ab67616d00001e02e9417411c156207132d4c003,spotify:track:76ICmoJ4PcoMWoooaTxnQs,68,0.0128,0.618,0.588,0.0266,0.351,-11.624,0.0735,86.903,0.768,2,1,4
Oh How Happy,20 Greatest Hits: 1965,1987-01-01,['Shades Of Blue'],[],1966,78,136666,https://open.spotify.com/track/7BKT3LWE3EhWbLEzMEP0sk,https://i.scdn.co/image/ab67616d00001e02b038f38357e87922274eef29,spotify:track:7BKT3LWE3EhWbLEzMEP0sk,23,0.634,0.559,0.425,6.88e-05,0.121,-11.324,0.0378,87.273,0.724,9,1,4
